nom,adresse,VILLE,postcode
13 ET 3,"1, place Bouffay",NANTES,44000
ATELIERS DE BITCHE,3 rue Bitche,NANTES,44000
ATELIERS MAGELLAN,12 quai Magellan,NANTES,44000
ATOMIC'S CAFE,6 cours Olivier de Clisson,NANTES,44000
